title,author,price,currency,seller_name,seller_city,seller_region,seller_country,about,binding,condition,edition,isbn,publisher,year_published,availability,searched,edmonton,signed
Seeding Success. The Story of Olds College Since 1913. Olds College 100 Years 1913 - 2013,Barry Potyondi,71.25,USD,Better World Books: West,Reno,NV,U.S.A.,"Condition: Good. Used book that is in clean, average condition without any missing pages. ",Hardcover,UsedCondition,,9780919609600,Olds College,2013.0,InStock,abebooks - potyondi - seeding success,False,False
Seeding Success. The Story of Olds College Since 1913. Olds College 100 Years 1913 - 2013,"Potyondi, Barry",86.78,USD,The Bookseller,Edmonton,AB,Canada,"Hardcover. Condition: Very Good. Dust Jacket Condition: Very Good. Minor shelf wear to book and dust jacket. Otherwise this is a tight, bright, unmarked volume. Illustrated. 424 pp. ",Hardcover,UsedCondition,,9780919609600,"Olds College, Olds, AB",2013.0,InStock,abebooks - potyondi - seeding success,True,False
Seeding Success. The Story of Olds College Since 1913. Olds College 100 Years 1913 - 2013,Barry Potyondi,85.0,USD,Edmonton Book Store,Edmonton,AB,Canada,Condition: Very good. Dust Jacket Condition: Very good. Larger 8vo pp. 4 424. book. ,Hardcover,UsedCondition,,9780919609600,"Olds College, Olds",2013.0,InStock,abebooks - potyondi - seeding success,True,False
Happy Alchemy: On the Pleasures of Music and the Theatre,"Davies, Robertson; Davies, Brenda [Editor]",4.28,USD,Your Online Bookstore,Houston,TX,U.S.A.,hardcover. Condition: Good. ,Hardcover,UsedCondition,,9780670880195,Viking Adult,1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: On the Pleasures of Music And the Theatre,"Davies, Robertson",3.8,USD,WorldofBooks,Goring-By-Sea,WS,United Kingdom,"Paperback. Condition: Very Good. The book has been read, but is in excellent condition. Pages are intact and not marred by notes or highlighting. The spine remains undamaged. ",Paperback,UsedCondition,,9780140275629,Penguin Group USA,1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy : Writings on the Theatre & Other Lively Arts,"Guthrie, Tyrone, Robertson Davies and Grant MacDonald",8.0,USD,CMG Books and Art,Toronto,ON,Canada,"Hardcover. Condition: As New. xii, 388 pages. ",Hardcover,UsedCondition,,9780771025853,McClelland and Stewart,1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy : On the Pleasures of Music and the Theatre,"Davies, Robertson; Davies, Brenda; Surridge, Jennifer",6.2,USD,OIBooks-Libros -  Ormaechea-Iziar  :    Canada-U.S.A.-World,Niagara Falls,NY,U.S.A.,"Soft cover. Condition: Good. 1st Edition. INTERNATIONAL BOOKSTORE; Our Books are in English, Spanish, French , Italian, German,Russian etc. . We Ship World Wide. Book. ",Paperback,UsedCondition,1st Edition.,9780140276381,"Viking Press, Canada",1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy,"Davies, Robertson",11.0,USD,Old Goat Books,Waterloo,ON,Canada,Condition: NF. Writings on the Theatre and Other Lively Arts. ,Paperback,UsedCondition,,,Penguin,1998.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy. On the Pleasures of Music and The Theatre,"Davies, Robertson (Edited Jennifer Surridge and Brenda Davies)",10.47,USD,Adelaide Booksellers,Clarence Gardens,SA,Australia,"Hardback. 1st US Edition. Large octavo size [16x24cm approx]. Very Good condition in Very Good Dustjacket. DJ protected in our purpose-made plastic sleeve. A nice copy. 384 pages. Thirty-three pieces of Robertson Davies' inimitable erudition published posthumously. Robust, professional packaging and tracking provided for all parcels. ",Hardcover,UsedCondition,1st US Edition.,9780670880195,"Viking, New York",1997.0,InStock,abebooks - robertson davies - happy alchemy,False,False
Happy Alchemy: Writings on the Theatre and Other Lively Arts; The Merry Heart: Selections 1980-1995,"DAVIES, Robertson; SURRIDGE, Jennifer & DAVIES, Brenda (eds.)",20.0,USD,Heroes Bookshop,Paris,ON,Canada,Hardcover. Condition: Very good. Dust Jacket Condition: Slipcase. First Edition. this two volume Special Edition set of books are encased in a chocolate brown slipcase with a facsimile author signature on front.gilt lettering on the spines of both titles.a lovely clean tight unmarked set of two. ,Hardcover,UsedCondition,First Edition.,,McClelland & Stewart,1996.0,InStock,abebooks - robertson davies - happy alchemy,False,False
